HTF_State;Maj_State;Min_State;Entry_Type;Risk_Multiplier;BE_Trigger_R;Partial_R;Partial_Pct;TP_Strategy;TP_Param;Trail_Strategy;Location_Filter;Dash_Note
Impulse Down - ChoCh Down;Impulse Down - BoS Up;Impulse Down - BoS Up;0;0;0;0;0;FIXED_R;0;NONE;NONE;101-Dung ngoaiTP: FIXED_R0.0
Impulse Down - ChoCh Down;Impulse Down - BoS Up;Impulse Up - ChoCh Up;0;0;0;0;0;FIXED_R;0;NONE;NONE;102-Dung ngoaiTP: FIXED_R0.0
Impulse Down - ChoCh Down;Impulse Up - ChoCh Up;Impulse Up - BoS Up;0;0;0;0;0;FIXED_R;0;NONE;NONE;103-Dung ngoaiTP: FIXED_R0.0
Impulse Down - ChoCh Down;Impulse Up - ChoCh Up;Impulse Up - BoS Down;0;0;0;0;0;FIXED_R;0;NONE;NONE;104-Dung ngoaiTP: FIXED_R0.0
Impulse Down - ChoCh Down;Impulse Up - ChoCh Up;Impulse Down - ChoCh Down;4;1;0;3;50;FIXED_R;10;TRAIL_STRUCT;HTF_ZONE;105-Sell Minor SL theo Minor 2, chot bot 50% tai 3.0R, TP: 10.0R
Impulse Down - ChoCh Down;Impulse Up - ChoCh Up;Impulse Down - BoS Down;0;0;0;0;0;FIXED_R;0;NONE;NONE;106-Dung ngoaiTP: FIXED_R0.0
Impulse Down - ChoCh Down;Impulse Up - ChoCh Up;Impulse Down - BoS Up;0;0;0;0;0;FIXED_R;0;NONE;NONE;107-Dung ngoaiTP: FIXED_R0.0
Impulse Down - ChoCh Down;Impulse Up - ChoCh Up;Impulse Up - ChoCh Up;0;0;0;0;0;FIXED_R;0;NONE;NONE;108-Dung ngoaiTP: FIXED_R0.0
Impulse Down - BoS Down;Impulse Up - BoS Up;Impulse Up - BoS Up;0;0;0;0;0;FIXED_R;0;NONE;HTF_ZONE;109-Dung ngoaiTP: FIXED_R0.0
Impulse Down - BoS Down;Impulse Up - BoS Up;Impulse Up - BoS Down;0;0;0;0;0;FIXED_R;0;NONE;HTF_ZONE;110-Dung ngoaiTP: FIXED_R0.0
Impulse Down - BoS Down;Impulse Up - BoS Up;Impulse Down - ChoCh Down;0;0;0;0;0;FIXED_R;0;NONE;HTF_ZONE;111-Dung ngoaiTP: FIXED_R0.0
Impulse Down - BoS Down;Impulse Up - BoS Up;Impulse Down - BoS Down;0;0;0;0;0;FIXED_R;0;NONE;HTF_ZONE;112-Dung ngoaiTP: FIXED_R0.0
Impulse Down - BoS Down;Impulse Up - BoS Up;Impulse Down - BoS Up;0;0;0;0;0;FIXED_R;0;NONE;HTF_ZONE;113-Dung ngoaiTP: FIXED_R0.0
Impulse Down - BoS Down;Impulse Up - BoS Up;Impulse Up - ChoCh Up;0;0;0;0;0;FIXED_R;0;NONE;HTF_ZONE;114-Dung ngoaiTP: FIXED_R0.0
Impulse Down - BoS Down;Impulse Up - BoS Down;Impulse Up - BoS Up;2;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;115-Sell Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Down - BoS Down;Impulse Up - BoS Down;Impulse Up - BoS Down;2;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;116-Sell Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Down - BoS Down;Impulse Up - BoS Down;Impulse Down - ChoCh Down;2;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;117-Sell Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Down - BoS Down;Impulse Up - BoS Down;Impulse Down - BoS Down;2;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;118-Sell Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Down - BoS Down;Impulse Up - BoS Down;Impulse Down - BoS Up;2;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;119-Sell Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Down - BoS Down;Impulse Up - BoS Down;Impulse Up - ChoCh Up;2;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;120-Sell Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Down - BoS Down;Impulse Down - ChoCh Down;Impulse Up - BoS Up;2;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;121-Sell Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Down - BoS Down;Impulse Down - ChoCh Down;Impulse Up - BoS Down;2;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;122-Sell Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Down - BoS Down;Impulse Down - ChoCh Down;Impulse Down - ChoCh Down;2;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;123-Sell Major - Chot 50% HTF_ACTIVE som 10.0 pips
