HTF_State;Maj_State;Min_State;Entry_Type;Risk_Multiplier;BE_Trigger_R;Partial_R;Partial_Pct;TP_Strategy;TP_Param;Trail_Strategy;Location_Filter;Dash_Note
Impulse Up - BoS Down;Impulse Down - ChoCh Down;Impulse Down - BoS Down;2;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;52-Sell Limit tai mep Sell Zone M1 Major, Cat lo o dinh Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Down - ChoCh Down;Impulse Down - BoS Up;2;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;53-Sell Limit tai mep Sell Zone M1 Major, Cat lo o dinh Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Down - ChoCh Down;Impulse Up - ChoCh Up;2;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;54-Sell Limit tai mep Sell Zone M1 Major, Cat lo o dinh Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Down - BoS Down;Impulse Up - BoS Up;2;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;55-Sell Limit tai mep Sell Zone M1 Major, Cat lo o dinh Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Down - BoS Down;Impulse Up - BoS Down;2;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;56-Sell Limit tai mep Sell Zone M1 Major, Cat lo o dinh Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Down - BoS Down;Impulse Down - ChoCh Down;2;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;57-Sell Limit tai mep Sell Zone M1 Major, Cat lo o dinh Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Down - BoS Down;Impulse Down - BoS Down;2;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;58-Sell Limit tai mep Sell Zone M1 Major, Cat lo o dinh Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Down - BoS Down;Impulse Down - BoS Up;2;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;59-Sell Limit tai mep Sell Zone M1 Major, Cat lo o dinh Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Down - BoS Down;Impulse Up - ChoCh Up;2;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;60-Sell Limit tai mep Sell Zone M1 Major, Cat lo o dinh Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Down - BoS Up;Impulse Up - BoS Up;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;61-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Down - BoS Up;Impulse Up - BoS Down;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;62-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Down - BoS Up;Impulse Down - ChoCh Down;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;63-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Down - BoS Up;Impulse Down - BoS Down;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;64-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Down - BoS Up;Impulse Down - BoS Up;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;65-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Down - BoS Up;Impulse Up - ChoCh Up;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;66-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Up - ChoCh Up;Impulse Up - BoS Up;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;67-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Down;Impulse Up - ChoCh Up;Impulse Up - BoS Down;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;68-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
